Video,Video title,Video publish time,Video Tags,Category
t3fGWVhPeQk,Paper Plane 021 : Simple Dart by John Smith (100 Exotic Paper Airplanes),29-Sep-20,paperplane,
GmPwZa8dWPc,Quickie Origami - Sea Horse by Anita Barbour,30-Sep-20,"origami,quickie",
kyifBX9hE7c,Quickie Origami - Pinwheel,01-Oct-20,"origami,quickie",
S2To3gdwslw,Quickie Origami - Crane’s Egg by Richard L. Alexander,02-Oct-20,"origami,quickie",
kRCEMATW7po,Quickie Origami - Tato Purse,03-Oct-20,"origami,quickie",
4Miv8BVs0EA,Quickie Origami - Crane Envelope by Minako Ishibashi,04-Oct-20,"origami,quickie",
4nIT1KDOvHc,Quickie Origami - Smiling Face Emoji by Jo Nakashima,05-Oct-20,"origami,quickie",
IlY4vm9_V5c,Paper Plane 022 : Avion F-5 by Carlos Pomaron (100 Exotic Paper Airplanes),06-Oct-20,paperplane,
GKIsOlx3-rk,Quickie Origami - Floral Corner Bookmark by Jenny W. Chan,07-Oct-20,"origami,quickie",
dbHegShykqU,Quickie Origami - Simple Cicada,08-Oct-20,"origami,quickie",
cWtPNWqdH18,Quickie Origami - Striped Shuriken ( aka Ninja Star ),09-Oct-20,"origami,quickie",
etDYfBTudjc,Quickie Origami - 30 Units PHiZZ Ball by Thomas Hull,10-Oct-20,"origami,quickie",
uB5-I4IfVeo,Quickie Origami - Yacht by Toshie Takahama,11-Oct-20,"origami,quickie",
9L0aPLGPOfk,Getting first 500 subscribers in 2020 on my Origami Art channel.,11-Oct-20,"vlog,growth",
IhBgxN8NTlA,Quickie Origami - Fox Envelope by Jenny W. Chan,12-Oct-20,"origami,quickie",
6goDwn4Ozcw,"Origami with Me [27 min] : Not a tutorial, What to do with ripped Origami Paper",13-Oct-20,"origami,origamiwithme",
_5ioFyaVjY4,Paper Plane 023 : Chuck Finn by Michael G. LaFosse (100 Exotic Paper Airplanes),13-Oct-20,paperplane,
6u_wVjov4t8,Quickie Origami - Rowing Boat by Martin Wall,14-Oct-20,"origami,quickie",
Bk6QuAPiedQ,Quickie Origami - Barking Dog by Paul Jackson,15-Oct-20,"origami,quickie",
WDOFFO3qB4o,Origami with me (18 min) : Robinson’s Star and Fujimoto’s Cube (Not a Tutorial),16-Oct-20,"origami,origamiwithme",
u3TOQ2dqJaw,Quickie Origami - Star By Nick Robinson,16-Oct-20,"origami,quickie",
x29EhgRGLn8,Quickie Origami - Rooster by Florence Temko,17-Oct-20,"origami,quickie",
wR3ed4iwHPw,Quickie Origami - Pumpkin by Ryan Dong,18-Oct-20,"origami,quickie",
RNa-dUg0_po,Quickie Origami - Skull by Kunihiko Kasahara,19-Oct-20,"origami,quickie",
qaaBMV0rFG0,Paper Plane 024 : Shuttlecock by Michael G. LaFosse (100 Exotic Paper Airplanes),20-Oct-20,paperplane,
xr-WR-xI-nY,Moderato Origami - An Origami Cat by Toshie Takahama,21-Oct-20,origami,
UxlC9LS9jEo,Quickie Origami - YouTube Play Button and Happy Face by Jeremy Shafer,22-Oct-20,"origami,quickie",
T_8rXFCqC-0,"Quickie Origami - Among Us Character Bookmark by Wilson Lee (Heap Art) (No Glue, No Scissors)",22-Oct-20,"origami,quickie",
sRW7lelU3EQ,Quickie Origami - Flying Witch by Kunihiko Kasahara,23-Oct-20,"origami,quickie",
c4hs_9jXnpk,"Moderato Origami - Among Us Character Bookmark by Wilson Lee (Heap Art) (No Glue, No Scissors)",23-Oct-20,origami,
HJXGWXFq9Qk,Quickie Origami - Cat by Steve Biddle,24-Oct-20,"origami,quickie",
KhPuUQQQQfE,Quickie Origami - Halloween Bat by Sok Song,25-Oct-20,"origami,quickie",
QXwi73n_Q6I,Quickie Origami - Witch’s Hat,26-Oct-20,"origami,quickie",
ilTQvF5xKRM,Paper Plane 025 : Flying Bat by Max Hulme (100 Exotic Paper Airplanes),27-Oct-20,paperplane,
bxn73viLKPg,Quickie Origami - Crow,28-Oct-20,"origami,quickie",
MxO0YeoMZcw,Moderato Origami - Ghost/Reaper by Ladislav Kaňka &  Easy Origami,29-Oct-20,origami,
ZTyi3rt9Kb8,Quickie Origami - Raven by Tavin & Paper Crafts 1101,30-Oct-20,"origami,quickie",
u4azNCNQiik,Moderato Origami - Rosette by Paul Jackson,31-Oct-20,origami,
11GidL3lvVM,"0 to 1000 Subscribers in 5 months, Thanks!!!",01-Nov-20,"vlog,growth",
4yl_Khk47W0,Quickie Origami - Bear by Kunihiko Kasahara,02-Nov-20,"origami,quickie",
zOHWWxZVxaY,Paper Plane 026 : Bar Flyer by Paul Jackson (100 Exotic Paper Airplanes),03-Nov-20,paperplane,
Hz4S7GmUJ90,Quickie Origami - Spinning Star by Paolo Bascetta,04-Nov-20,"origami,quickie",
mLYErSYkjEo,Origami With Me (1 hour) : Learning the Un-unfoldable Box (Not a Tutorial),05-Nov-20,"origami,origamiwithme",
Hs373IhDiXw,Quickie Origami - Winged Heart by ?????,05-Nov-20,"origami,quickie",
qGwLYzRAPVA,Quickie Origami - Leap Frog by Jamie and Micah,06-Nov-20,"origami,quickie",
uc5cuBLX7Dk,Moderato Origami - Un-unfoldable Box by Ed Sullivan,07-Nov-20,origami,
AxYv9Z9wPno,Moderato Origami - Cube by Shuzo Fujimoto,08-Nov-20,origam,
gYDWYAR_gHU,Quickie Origami - Snail by Kunihiko Kasahara,09-Nov-20,"origami,quickie",
755xrgSpzRw,Paper Plane 027 : Hawk by Paul Jackson (100 Exotic Paper Airplanes),10-Nov-20,paperplane,
OxjudNArzPY,Quickie Origami - Easy Dino,11-Nov-20,"origami,quickie",
jv7OOGQGo44,Quickie Origami - Scottie Dog by Robert E. Neale,12-Nov-20,"origami,quickie",
